Splice junction combination	Frequency
1(1),1(2)-2<--->2-3(1),3(2),3(3),3(4),3(5)	30
1(1),1(2)-2<--->9(1),9(2)-10(2)	1
1(1),1(2)-2<--->2-3(1),3(2),3(3),3(4),3(5)<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(2)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)	3
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->9(1),9(2)-10(2)	253
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)	138
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->8-9(1)	28
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->9(1),9(2)-10(2)	161
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(2)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)<--->9(1),9(2)-10(2)	8
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->8-9(1)<--->9(1),9(2)-10(2)	88
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-9(2)	19
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->4(5)-5(1),5(2)	12
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-5(1),5(2)<--->7(1),7(2),7(3)-8<--->8-10(2)	2
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-5(1),5(2)<--->8-10(2)	14
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)	43
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-5(1),5(2)	10
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-9(2)<--->9(1),9(2)-10(2)	31
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)<--->9(1),9(2)-10(2)	50
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->4(5)-5(1),5(2)<--->9(1),9(2)-10(2)	25
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->7(1),7(2),7(3)-8<--->8-9(1)<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->7(1),7(2),7(3)-8<--->8-9(1)<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->7(1),7(2),7(3)-8<--->8-9(1)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->8-9(2)<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->8-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(2)<--->9(1),9(2)-10(2)	2
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->8-9(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(2)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(2)<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->4(5)-5(1),5(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->7(1),7(2),7(3)-8<--->9(1),9(2)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->3(1)-10(2)	1
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)<--->7(1),7(2),7(3)-8	1
2-3(1),3(2),3(3),3(4),3(5)<--->8-9(1)	1
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->9(1),9(2)-10(2)	16
3(2)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(2)	1
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->4(5)-5(1),5(2)	40
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)<--->9(1),9(2)-10(2)	4
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)	5
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->4(5)-5(1),5(2)<--->9(1),9(2)-10(2)	2
3(2)-4(1),4(2),4(3),4(4),4(5),4(6)<--->8-9(1)<--->9(1),9(2)-10(2)	6
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)<--->7(1),7(2),7(3)-8<--->9(1),9(2)-10(2)	1
3(1)-5(1),5(2)<--->7(1),7(2),7(3)-8	1
7(1),7(2),7(3)-8<--->8-9(1)	271
7(1),7(2),7(3)-8<--->9(1),9(2)-10(2)	17
7(1),7(2),7(3)-8<--->8-9(1)<--->9(1),9(2)-10(2)	42
7(1),7(2),7(3)-8<--->8-9(2)<--->9(1),9(2)-10(2)	3
7(1),7(2),7(3)-8<--->8-9(2)	1
8-9(1)<--->9(1),9(2)-10(2)	34
8-9(2)<--->9(1),9(2)-10(2)	2
